wavelength_nm,red_qe,green_qe,blue_qe
400,15.6983958576,5.5268306226,56.7565026087
401,15.6983958576,5.5268306226,56.7565026087
402,15.6983958576,5.5268306226,57.2223744018
403,15.0778849797,5.4335218278,58.0412273158
404,14.4658045755,5.3507022713,59.4537348112
405,13.8663108302,5.2789059097,61.643218696
406,13.2613942399,5.2172255938,63.6830066682
407,12.6429040509,5.1614431001,65.0903736773
408,12.0433185426,5.115421375,65.9402109164
409,11.4944428957,5.0839440176,66.7868733437
410,11.0063935622,5.0762068636,67.6230987884
411,10.5667272903,5.095190781,68.3757296083
412,10.1619688104,5.1219342601,69.0188289327
413,9.7845106332,5.136744063,69.5096820685
414,9.4429050079,5.1288685654,69.9064470871
415,9.1256294173,5.1092927777,70.2918050176
416,8.8190354462,5.0889259135,70.7251448388
417,8.5164745726,5.0785250634,71.1415759121
418,8.2256108884,5.0749418059,71.5840937366
419,7.9460314418,5.0762628327,72.1188374318
420,7.676981388,5.0887070609,72.7893081127
421,7.4169633796,5.1184207556,73.5572714635
422,7.1667263616,5.1670828479,74.3747183432
423,6.929048121,5.2295506192,75.2182578822
424,6.706686692,5.3001233952,76.1060594224
425,6.4994497022,5.3742812402,76.9945846413
426,6.3018987762,5.4556993241,77.7928747612
427,6.1083234849,5.5432325639,78.5408777632
428,5.9178550587,5.6342897441,79.4172640241
429,5.7347013861,5.7248170927,80.6023701709
430,5.5632715082,5.8128162038,82.0482807892
431,5.407974466,5.9079095683,83.3101336881
432,5.2732193008,6.0204620484,84.4538723393
433,5.1670155499,6.1598172816,85.6561827637
434,5.0885212781,6.3215154133,86.8868323855
435,5.0202166157,6.4926787953,88.0907500721
436,4.9442795213,6.6603513499,89.2742177307
437,4.8565039408,6.8320425699,90.3504427101
438,4.7647662953,7.0098018906,91.313271987
439,4.6690668215,7.1718635874,92.1628816029
440,4.5693678053,7.2965272688,92.8788287942
441,4.4645230262,7.3744822319,93.4520466151
442,4.3555066911,7.4226595511,93.9151755631
443,4.2443917723,7.4612707077,94.3046733137
444,4.132594899,7.5079886025,94.6006834904
445,4.0158353638,7.5502874125,94.8036826536
446,3.8982703611,7.591477087,94.9663396578
447,3.7866370512,7.6429589742,95.1393684288
448,3.6868652894,7.7141453245,95.3110038991
449,3.5973222973,7.8005105984,95.4684562618
450,3.5141208655,7.8988949239,95.6179444342
451,3.4336332923,8.0072253287,95.7657437612
452,3.3525230216,8.1198714451,95.9138472533
453,3.2717595053,8.2337605872,96.0549573488
454,3.1954271499,8.3647053389,96.1807821582
455,3.1276719004,8.5294067777,96.2859087342
456,3.0689127452,8.7231332042,96.3763510199
457,3.0169250644,8.937049434,96.4488661704
458,2.9747558462,9.2002665616,96.4987899979
459,2.9455082435,9.5422672253,96.5234930311
460,2.9297294922,9.9753694902,96.5255802246
461,2.9259466099,10.4847332824,96.5052170573
462,2.9336413535,11.0562262122,96.4624035292
463,2.9525272191,11.6805000848,96.3899611012
464,2.9861708285,12.3793020021,96.289295697
465,3.0312595263,13.131584024,96.1774606704
466,3.0815743951,13.9066823039,96.0712559645
467,3.1314032336,14.7010614014,95.9594621814
468,3.1818157757,15.5202510941,95.8435499765
469,3.2358985044,16.3635980685,95.7447673171
470,3.2962426351,17.2262909584,95.6850578907
471,3.3658487067,18.1229332011,95.6807747606
472,3.4455158588,19.0708927719,95.7023252764
473,3.5299623595,20.0566903109,95.7108412053
474,3.6134875346,21.0533758956,95.6866957189
475,3.6964417777,22.0583407595,95.6984715898
476,3.7838850482,23.0002647915,95.6662842176
477,3.8649953353,23.8899924098,95.4818197513
478,3.9283712909,24.7183810854,95.0959956801
