wavelength,red_est,green_est,blue_est
701,49.420,23.626,11.030
702,49.420,23.778,11.061
703,49.393,23.930,11.118
704,49.353,24.082,11.174
705,49.313,24.165,11.217
706,49.272,24.245,11.248
707,49.229,24.324,11.280
708,49.187,24.358,11.311
709,49.144,24.370,11.292
710,49.097,24.383,11.253
711,49.050,24.389,11.214
712,49.003,24.386,11.174
713,48.959,24.383,11.116
714,48.916,24.374,11.055
715,48.874,24.322,10.994
716,48.825,24.271,10.915
717,48.765,24.219,10.824
718,48.706,24.139,10.734
719,48.647,24.054,10.628
720,48.592,23.968,10.516
721,48.538,23.861,10.405
722,48.484,23.736,10.293
723,48.415,23.611,10.181
724,48.335,23.497,10.068
725,48.254,23.412,9.956
726,48.171,23.326,9.851
727,48.085,23.241,9.749
728,47.998,23.225,9.647
729,47.908,23.210,9.556
730,47.812,23.194,9.475
731,47.716,23.190,9.394
732,47.621,23.190,9.315
733,47.512,23.190,9.245
734,47.403,23.199,9.175
735,47.293,23.221,9.105
736,47.178,23.242,9.065
737,47.060,23.269,9.028
738,46.942,23.327,8.991
739,46.822,23.385,8.963
740,46.699,23.442,8.939
741,46.576,23.521,8.915
742,46.451,23.603,8.900
743,46.320,23.686,8.900
744,46.190,23.784,8.900
745,46.059,23.893,8.902
746,45.927,24.003,8.931
747,45.795,24.120,8.960
748,45.663,24.254,8.990
749,45.526,24.388,9.035
750,45.383,24.522,9.089
751,45.241,24.714,9.144
752,45.099,24.906,9.198
753,44.960,25.098,9.289
754,44.820,25.290,9.380
755,44.681,25.481,9.472
756,44.540,25.673,9.597
757,44.400,25.871,9.737
758,44.259,26.079,9.877
759,44.129,26.286,10.053
760,44.002,26.494,10.279
761,43.875,26.707,10.505
762,43.754,26.920,10.899
763,43.644,27.132,11.376
764,43.533,27.350,11.905
765,43.425,27.569,12.450
766,43.339,27.788,12.998
767,43.254,28.007,13.567
768,43.168,28.227,14.130
769,43.070,28.446,14.670
770,42.966,28.661,15.239
771,42.862,28.865,15.800
772,42.752,29.068,16.354
773,42.638,29.272,16.902
774,42.524,29.492,17.468
775,42.411,29.711,18.039
776,42.285,29.931,18.597
777,42.154,30.125,19.149
778,42.024,30.311,19.698
779,41.893,30.496,20.253
780,41.748,30.672,20.805
781,41.601,30.837,21.350
782,41.454,31.002,21.914
783,41.300,31.161,22.486
784,41.142,31.292,23.026
785,40.983,31.422,23.586
786,40.817,31.553,24.140
787,40.637,31.650,24.659
788,40.457,31.741,25.163
789,40.277,31.833,25.660
790,40.097,31.901,26.111
791,39.917,31.952,26.558
792,39.736,32.004,26.997
793,39.534,32.045,27.390
794,39.327,32.060,27.765
795,39.120,32.075,28.099
796,38.920,32.090,28.424
797,38.728,32.087,28.726
798,38.536,32.084,29.015
799,38.336,32.081,29.304
800,38.113,32.055,29.600
801,37.890,32.022,29.896
802,37.661,31.988,30.171
803,37.416,31.970,30.417
804,37.170,31.970,30.662
805,36.933,31.970,30.883
806,36.703,31.965,31.066
807,36.473,31.938,31.249
808,36.233,31.910,31.425
809,35.983,31.883,31.546
810,35.733,31.842,31.668
811,35.485,31.799,31.789
812,35.239,31.756,31.876
813,34.994,31.704,31.955
814,34.746,31.646,32.034
815,34.497,31.588,32.077
816,34.247,31.523,32.089
817,33.987,31.444,32.101
818,33.727,31.365,32.107
819,33.482,31.284,32.098
820,33.268,31.190,32.088
821,33.055,31.095,32.070
822,32.865,31.001,32.004
823,32.725,30.889,31.937
824,32.585,30.773,31.871
825,32.444,30.657,31.762
826,32.291,30.525,31.617
827,32.139,30.379,31.472
828,31.987,30.233,31.301
829,31.813,30.081,31.095
830,31.632,29.914,30.889
831,31.452,29.746,30.668
832,31.263,29.578,30.427
833,31.065,29.401,30.185
834,30.867,29.224,29.947
835,30.664,29.047,29.710
836,30.444,28.899,29.473
837,30.225,28.765,29.226
838,30.005,28.630,28.973
839,29.776,28.487,28.721
840,29.546,28.328,28.478
841,29.316,28.170,28.240
842,29.062,28.007,28.002
843,28.805,27.811,27.750
844,28.548,27.616,27.497
845,28.288,27.421,27.245
846,28.028,27.205,26.996
847,27.771,26.985,26.747
848,27.518,26.765,26.496
849,27.266,26.521,26.243
850,27.001,26.272,25.991
851,26.733,26.022,25.748
852,26.465,25.769,25.509
853,26.201,25.517,25.270
854,25.937,25.256,25.080
855,25.680,24.981,24.906
856,25.438,24.706,24.732
857,25.196,24.482,24.563
858,24.960,24.286,24.398
859,24.727,24.089,24.233
860,24.495,23.911,24.068
861,24.282,23.743,23.900
862,24.087,23.576,23.733
863,23.891,23.410,23.565
864,23.700,23.248,23.392
865,23.524,23.086,23.218
866,23.347,22.923,23.044
867,23.170,22.756,22.878
868,22.993,22.588,22.716
869,22.815,22.420,22.554
870,22.638,22.260,22.389
871,22.465,22.101,22.218
872,22.295,21.943,22.047
873,22.124,21.779,21.877
874,21.956,21.611,21.712
875,21.791,21.443,21.548
876,21.627,21.276,21.383
877,21.460,21.111,21.213
878,21.287,20.946,21.043
879,21.113,20.782,20.872
880,20.939,20.617,20.703
881,20.778,20.452,20.535
882,20.619,20.288,20.367
883,20.460,20.123,20.200
884,20.300,19.958,20.036
885,20.138,19.792,19.871
886,19.977,19.629,19.707
887,19.815,19.467,19.533
888,19.653,19.306,19.359
889,19.492,19.144,19.186
890,19.330,18.979,19.020
891,19.168,18.814,18.859
892,19.006,18.650,18.697
893,18.844,18.488,18.532
894,18.682,18.326,18.361
895,18.521,18.165,18.190
896,18.359,17.997,18.020
897,18.202,17.826,17.856
898,18.050,17.655,17.691
899,17.897,17.487,17.526
900,17.743,17.325,17.356
901,17.581,17.164,17.185
902,17.420,17.002,17.014
903,17.258,16.834,16.844
904,17.109,16.666,16.677
905,16.962,16.499,16.509
906,16.814,16.340,16.342
907,16.658,16.184,16.178
908,16.501,16.028,16.013
909,16.344,15.877,15.848
910,16.189,15.730,15.678
911,16.037,15.584,15.507
912,15.884,15.437,15.336
913,15.732,15.288,15.168
914,15.579,15.138,15.000
915,15.426,14.989,14.832
916,15.273,14.837,14.663
917,15.120,14.684,14.492
918,14.968,14.532,14.322
919,14.816,14.381,14.153
920,14.663,14.231,13.991
921,14.511,14.081,13.829
922,14.358,13.932,13.668
923,14.203,13.782,13.501
924,14.042,13.633,13.333
925,13.880,13.484,13.165
926,13.719,13.334,13.013
927,13.572,13.185,12.869
928,13.425,13.035,12.726
929,13.278,12.883,12.582
930,13.121,12.731,12.435
931,12.963,12.579,12.289
932,12.805,12.428,12.143
933,12.653,12.278,11.996
934,12.506,12.128,11.849
935,12.360,11.979,11.702
936,12.211,11.833,11.556
937,12.053,11.686,11.410
938,11.894,11.540,11.263
939,11.736,11.388,11.117
940,11.582,11.235,10.970
941,11.429,11.083,10.824
942,11.277,10.932,10.678
943,11.124,10.783,10.531
944,10.972,10.634,10.385
945,10.819,10.484,10.239
946,10.667,10.334,10.090
947,10.514,10.184,9.940
948,10.362,10.035,9.791
949,10.211,9.885,9.647
950,10.084,9.736,9.507
951,9.956,9.586,9.367
952,9.829,9.434,9.226
953,9.708,9.282,9.082
954,9.588,9.129,8.939
955,9.468,8.996,8.796
956,9.351,8.874,8.652
957,9.236,8.752,8.509
958,9.122,8.630,8.366
959,9.004,8.507,8.220
960,8.881,8.385,8.074
961,8.758,8.263,7.927
962,8.635,8.154,7.786
